 PROJECT BACKLOG — Triển khai Trợ lý AI Hành chính Văn phòng (OpenClaw),,,,,,,,,,,,
Phương pháp: Scrum  |  Thời gian: 4 tuần  |  Nhóm: 3 người  |  Sprint: 1 tuần/sprint  |  Tổng: 4 Sprints,,,,,,,,,,,,
ID,Epic,User Story,Mô tả chi tiết,Độ ưu tiên,Story Points,Sprint,Assignee,Trạng thái,Định nghĩa Hoàn thành (DoD),Ghi chú,,
US-01,EPIC-1 Hạ tầng,Cài đặt môi trường,"Cài Node.js 22+, OpenClaw CLI, cấu hình API key Anthropic Claude, chạy openclaw onboard thành công",🔴 Cao,2,Sprint 1,Bảo Nhân ,✅ Done,"OpenClaw gateway chạy, dashboard mở được tại localhost:18789",,,
US-02,EPIC-1 Hạ tầng,Kết nối kênh Telegram,"Tạo bot qua @BotFather, lấy token, cấu hình channel Telegram trong OpenClaw, gửi/nhận tin nhắn thành công",🔴 Cao,2,Sprint 1,Bảo Nhân,✅ Done,Bot phản hồi tin nhắn trong vòng 3 giây,,,
US-03,EPIC-1 Hạ tầng,Thiết lập Persona AI,"Cấu hình system prompt: AI đóng vai Thư ký tổng hợp QLDA, hiểu ngữ cảnh hành chính, trả lời tiếng Việt chuẩn",🔴 Cao,2,Sprint 1,Văn Cường,🔄 In Progress,"AI trả lời đúng vai trò, ngôn ngữ chuyên nghiệp",,,
US-04,EPIC-1 Hạ tầng,Persistent Memory,"Cấu hình memory để AI ghi nhớ thông tin dự án, tên nhân vật, quy trình xuyên suốt các phiên làm việc",🔴 Cao,3,Sprint 1,Đăng Hùng,🔄 In Progress,AI nhớ context sau khi restart gateway,,,
US-05,EPIC-2 Xử lý VB,Tóm tắt văn bản đơn,Người dùng gửi file PDF/Word lên Telegram → AI trả về tóm tắt 5–10 dòng nêu nội dung chính,🔴 Cao,5,Sprint 1,Văn Cường + Bảo Nhân,📋 To Do,"Tóm tắt đúng nội dung, dưới 30 giây xử lý",,,
US-06,EPIC-2 Xử lý VB,Trích xuất thông tin công văn,"AI tự động nhận diện và trích: Số công văn, Ngày ban hành, Cơ quan ban hành, Người ký, Nội dung chính",🔴 Cao,8,Sprint 2,Văn Cường + Bảo Nhân,📋 To Do,Trích xuất đúng ≥90% trường thông tin trên bộ test 10 công văn,Dùng structured output JSON,, 
US-07,EPIC-2 Xử lý VB,Tóm tắt đa văn bản,"Gửi nhiều file cùng lúc → AI tổng hợp thành báo cáo tổng quan, nêu điểm chung và khác biệt",🟡 Trung bình,5,Sprint 2,Văn Cường + Bảo Nhân,📋 To Do,"Xử lý tối đa 5 file, kết quả có cấu trúc rõ ràng",,,
US-08,EPIC-2 Xử lý VB,Knowledge Base nội bộ,"Upload bộ quy định nội bộ (PDF) → AI chỉ trả lời dựa trên tài liệu đó, trích dẫn nguồn cụ thể",🔴 Cao,8,Sprint 2,Văn Cường + Bảo Nhân,📋 To Do,"AI không hallucinate, luôn có câu trích dẫn từ tài liệu",RAG pattern,,
US-09,EPIC-3 Soạn thảo,Soạn công văn theo mẫu,"Chat yêu cầu → AI sinh công văn đúng chuẩn hành chính (quốc hiệu, tiêu ngữ, nội dung, ký tên)",🔴 Cao,5,Sprint 2,Bảo Nhân + Đăng Hùng ,📋 To Do,"File Word xuất ra mở được, đúng format hành chính Việt Nam",Dùng docx template,,
US-10,EPIC-3 Soạn thảo,Soạn tờ trình,"Chat mô tả nội dung → AI sinh tờ trình đầy đủ: căn cứ, nội dung đề nghị, kinh phí (nếu có)",🔴 Cao,5,Sprint 2,Bảo Nhân + Đăng Hùng ,📋 To Do,"Đúng bố cục, ngôn ngữ trang trọng",,,
