🚀 SPRINT BACKLOG — SPRINT 4,,,,,,,,,
📅 Thời gian: 22/04/2026 – 28/04/2026,,,,,"🎯 Sprint Goal: Hoàn thiện trải nghiệm người dùng, tích hợp nâng cao & đa kênh",,,,
📊 Tổng: 195 User Stories  |  Story Points: 527,,,🔴 Cao: 0   🟡 TB: 166   🟢 Thấp: 29,,,Trạng thái: To Do  |  In Progress  |  Done,,,
,,,,,,,,,
#,ID,Chức năng,Tính năng / User Story,Đối tượng,Mục đích,Độ ưu tiên,Story Points,Người phụ trách,Trạng thái
1,US-241,Quản lý công việc,Là Là Manager muốn liệt kê đầu việc từ chat để theo dõi tiến độ,Là Manager,để theo dõi tiến độ,🟡 Trung bình,3,,To Do
2,US-242,Quản lý công việc,Là Là Nhân viên muốn nhận tin nhắn nhắc việc sáng 8h để không quên nhiệm vụ,Là Nhân viên,để không quên nhiệm vụ,🟡 Trung bình,3,,To Do
3,US-243,Quản lý công việc,Là Là Trưởng nhóm muốn chỉ định nhân sự cho task để rõ ràng trách nhiệm,Là Trưởng nhóm,để rõ ràng trách nhiệm,🟡 Trung bình,3,,To Do
4,US-244,Quản lý công việc,Là Là Nhân viên muốn đổi task sang Done bằng lệnh để báo cáo hoàn thành,Là Nhân viên,để báo cáo hoàn thành,🟡 Trung bình,3,,To Do
5,US-245,Quản lý công việc,Là Là Người dùng muốn đồng bộ task sang Calendar để quản lý thời gian,Là Người dùng,để quản lý thời gian,🟡 Trung bình,3,,To Do
6,US-246,Quản lý công việc,Là Là Quản lý muốn xem danh sách việc đang làm để điều phối nguồn lực,Là Quản lý,để điều phối nguồn lực,🟡 Trung bình,3,,To Do
7,US-247,Quản lý công việc,Là Là Nhân viên muốn sắp xếp task theo độ khẩn để xử lý việc quan trọng trước,Là Nhân viên,để xử lý việc quan trọng trước,🟡 Trung bình,3,,To Do
8,US-248,Quản lý công việc,Là Là Lãnh đạo muốn xem số task hoàn thành trong tuần để đánh giá nhân viên,Là Lãnh đạo,để đánh giá nhân viên,🟡 Trung bình,3,,To Do
9,US-249,Quản lý công việc,Là Là Manager muốn liệt kê đầu việc từ chat để theo dõi tiến độ,Là Manager,để theo dõi tiến độ,🟡 Trung bình,3,,To Do
10,US-250,Quản lý công việc,Là Là Nhân viên muốn nhận tin nhắn nhắc việc sáng 8h để không quên nhiệm vụ,Là Nhân viên,để không quên nhiệm vụ,🟡 Trung bình,3,,To Do
11,US-251,Quản lý công việc,Là Là Trưởng nhóm muốn chỉ định nhân sự cho task để rõ ràng trách nhiệm,Là Trưởng nhóm,để rõ ràng trách nhiệm,🟡 Trung bình,3,,To Do
12,US-252,Quản lý công việc,Là Là Nhân viên muốn đổi task sang Done bằng lệnh để báo cáo hoàn thành,Là Nhân viên,để báo cáo hoàn thành,🟡 Trung bình,3,,To Do
13,US-253,Quản lý công việc,Là Là Người dùng muốn đồng bộ task sang Calendar để quản lý thời gian,Là Người dùng,để quản lý thời gian,🟡 Trung bình,3,,To Do
14,US-254,Quản lý công việc,Là Là Quản lý muốn xem danh sách việc đang làm để điều phối nguồn lực,Là Quản lý,để điều phối nguồn lực,🟡 Trung bình,3,,To Do
15,US-255,Quản lý công việc,Là Là Nhân viên muốn sắp xếp task theo độ khẩn để xử lý việc quan trọng trước,Là Nhân viên,để xử lý việc quan trọng trước,🟡 Trung bình,3,,To Do
16,US-256,Quản lý công việc,Là Là Lãnh đạo muốn xem số task hoàn thành trong tuần để đánh giá nhân viên,Là Lãnh đạo,để đánh giá nhân viên,🟡 Trung bình,3,,To Do
17,US-257,Quản lý công việc,Là Là Manager muốn liệt kê đầu việc từ chat để theo dõi tiến độ,Là Manager,để theo dõi tiến độ,🟡 Trung bình,3,,To Do
18,US-258,Quản lý công việc,Là Là Nhân viên muốn nhận tin nhắn nhắc việc sáng 8h để không quên nhiệm vụ,Là Nhân viên,để không quên nhiệm vụ,🟡 Trung bình,3,,To Do
